"sample_id","organic_carbon"
"2009.43262402",2.05
"2009.44882714",3.26
"2009.47462636",1.99
"2009.47782686",1.85
"2009.46502158",8.24
"2009.46122074",1.74
"2009.47242638",4.45
"2009.46921612",1.05
"2009.51004188",34.26
"2009.53024506",42.27
"2009.44222484",2.02
"2009.501432",2.27
"2009.47722672",1.4
"2009.46181658",2.07
"2009.28082152",1.32
"2009.50644642",4.8
"2009.47663508",3.27
"2009.42582432",0.98
"2009.4928439",1.39
"2009.47863518",2.54
"2009.39443068",1.24
"2009.47642718",2.27
"2009.5148319",0.32
"2009.49163194",1.61
"2009.4970444",1.03
"2009.44042268",0.83
"2009.48561852",0.3
"2009.48601858",0.55
"2009.47582788",3.49
"2009.45162502",1.66
"2009.45362638",2.29
"2009.50604656",39.38
"2009.51804588",0.28
"2009.2670178",2.05
"2009.279019",1.04
"2009.27361846",0.93
"2009.46082066",1.19
"2009.45562268",1.81
"2009.45042128",2.4
"2009.44062468",0.91
"2009.42342416",1.7
"2009.50023072",0.91
"2009.39743292",2.1
"2009.28142186",1.79
"2009.5156478",18.6
"2009.49744332",24.26
"2009.46701612",0.54
"2009.46641646",2.05
"2009.28722166",1.32
"2009.45721648",0.86
"2009.46543422",4.08
"2009.45002236",1.21
"2009.5106433",10.4
"2009.47362862",1.86
"2009.5132336",0.7
"2009.47942086",10.81
"2009.51424438",4.85
"2009.50144222",3.45
"2009.49023104",16.97
"2009.46662794",4.45
"2009.4974422",2.05
"2009.28202196",2.59
"2009.28101854",2.75
"2009.4448251",1.59
"2009.51003522",0.9
"2009.5062517",1.94
"2009.48523354",2.87
"2009.42643536",2.21
"2009.27202042",2.45
"2009.27462072",2.57
"2009.49061964",0.26
"2009.46002792",3.78
"2009.39243178",1.17
"2009.4348236",0.82
"2009.28001832",2
"2009.48983324",3.33
"2009.28602222",3.81
"2009.47162666",3.75
"2009.41722446",1.08
"2009.48883498",4.34
"2009.4530269",1.76
"2009.4618222",0.9
"2009.45542694",3.66
"2009.28622188",2.7
"2009.42882416",1.68
"2009.4770154",1.95
"2009.45543016",3.39
"2009.44922246",0.76
"2009.41203306",5.82
"2009.5034325",1.02
"2009.42902464",1.1
"2009.48963172",2.55
"2009.4344237",2.23
"2009.40743266",2.92
"2009.50863188",0.4
"2009.51964708",1.72
"2009.50923428",3.91
"2009.46561584",1.86
"2009.42081964",1.59
"2009.2778215",4.28
"2009.46702646",3.67
"2009.47042114",1.36
"2009.27062032",1.75
"2009.49523186",3.42
"2009.41882386",0.3
"2009.47281612",0.1
"2009.48961954",0.71
"2009.42181956",1.19
"2009.43522284",1.63
"2009.47302014",0.56
"2009.28542144",3.11
"2009.38143104",0.85
"2009.48241678",0.63
"2009.45722084",1.77
"2009.48923238",1.06
"2009.50903682",20.46
"2009.26841764",2.85
"2009.4170243",0.78
"2009.50204242",2.52
"2009.51903736",6.3
"2009.462622",0.99
"2009.43262374",3.46
"2009.45202532",2.58
"2009.27881902",1.19
"2009.44962108",1.62
"2009.51224604",2.51
"2009.47801626",1.27
"2009.52144708",5.62
"2009.45462048",0.2
"2009.49023428",8.24
"2009.28042176",9.58
"2009.44302258",1.63
"2009.4780294",0.78
"2009.28041892",1.54
"2009.51423692",1.94
"2009.52823124",2.91
"2009.46422762",10.51
"2009.40083258",2.81
"2009.446427",3.4
"2009.47663058",3.92
"2009.46823306",0.87
"2009.4992197",1.44
"2009.26761768",5.95
"2009.42982432",1.59
"2009.46502968",0.7
"2009.45702042",0.85
"2009.27241924",1.3
"2009.52584068",2.96
"2009.50444324",12.04
"2009.4844183",2.27
"2009.46922116",1.08
"2009.41242442",1.34
"2009.42443692",3.4
"2009.26841758",1.03
"2009.47862964",1.36
"2009.45541648",1.61
"2009.28282118",0.83
"2009.44762178",1.9
"2009.45823044",2.49
"2009.47121622",1.05
"2009.4686161",0.84
"2009.50064986",5.32
"2009.47681988",1.61
"2009.46501592",1
"2009.47763266",0.53
"2009.28362162",1.15
"2009.4708167",2.44
"2009.51984664",1.71
"2009.27461892",2.27
"2009.49863028",1.78
"2009.4110331",1.47
"2009.48643478",4.25
"2009.52704718",3.41
"2009.2842206",2.25
"2009.45023006",2.85
"2009.50422996",5.04
"2009.5238455",2.72
"2009.50564314",10.11
"2009.47402932",2.26
"2009.50164564",47.55
"2009.50183058",1.65
"2009.48561838",1.05
"2009.27241888",1.1
"2009.2774189",1.53
"2009.38643154",1.47
"2009.47523214",0.66
"2009.47541574",1.58
"2009.49223268",2.86
"2009.506443",2.95
"2009.46323266",2.09
"2009.4720267",2.18
"2009.43622262",1.23
"2009.52323304",1
"2009.47221618",0.84
"2009.44262496",1.38
"2009.51483406",41.49
"2009.2710176",2.38
"2009.46862114",4.13
"2009.40163342",1.03
"2009.28642124",0.63
"2009.53504414",2.67
"2009.27382028",2.62
"2009.28021894",3.57
"2009.4896301",2.05
"2009.27981936",0.91
"2009.51804718",3.74
"2009.5172305",1.17
"2009.4740278",5.34
"2009.2820193",1.29
"2009.52764572",1.33
"2009.44622226",0.78
"2009.52724638",3.57
"2009.48781976",0.47
"2009.2934217",0.34
"2009.50783306",1.43
"2009.52623628",1.17
"2009.49805122",4.63
"2009.49423462",1.29
"2009.50243348",4.46
"2009.53563806",31.32
"2009.53743906",44.43
"2009.44282488",2.03
"2009.50643022",1.69
"2009.39343236",1.3
"2009.50323462",0.25
"2009.51384212",4.13
"2009.43163742",36.06
"2009.48042028",1.43
"2009.47043068",1.7
"2009.45002146",1.51
"2009.441022",0.91
"2009.4584226",0.82
"2009.52824618",14
"2009.52944548",2.72
"2009.46141618",2.35
